,count,mean,std,min,25%,50%,75%,max
pid7,242295.0,0.4376084249915736,0.3646930195905253,0.0,0.0,0.5,0.8333333333333334,1.0
ideology,238299.0,0.4951671359650411,0.2931374038044049,0.0,0.25,0.5,0.75,1.0
news_interest,245613.0,0.7260487026338183,0.32661816021179263,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0
auth1,7375.0,0.5429604519774011,0.2781413840602711,0.0,0.3333333333333333,0.5,0.6666666666666666,1.0
auth2,7386.0,0.1332024550952252,0.1362195437769964,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333
auth3,5510.0,0.07897761645493043,0.10323757707652866,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333
rr1,7369.0,0.4853779345908536,0.3682641465078716,0.0,0.25,0.5,0.75,1.0
rr2,7381.0,0.4332407532854627,0.3633426345459366,0.0,0.0,0.25,0.75,1.0
rr3,7366.0,0.47603855552538693,0.34884559987571157,0.0,0.25,0.5,0.75,1.0
rr4,7367.0,0.6043844169947061,0.34151269905040066,0.0,0.25,0.75,1.0,1.0
issue_environment,132996.0,0.705764423276604,0.2786307988887379,0.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.0
religion_importance,250205.0,0.3521898709724692,0.391516641861772,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0
ft_dem_party,12986.0,0.4658693978130294,0.33965381756627766,0.0,0.11,0.5,0.75,1.0
ft_rep_party,12980.0,0.4171687211093991,0.33568311484840435,0.0,0.07,0.4,0.7,1.0
ft_biden,8048.0,0.40440606361829023,0.40310913583368524,0.0,0.0,0.3,0.85,1.0
ft_trump,7980.0,0.48345238095238097,0.35008852243917865,0.0,0.15,0.5,0.85,1.0
sexism1,4968.0,0.5952596618357487,0.2184862287178901,0.0,0.5,0.75,0.75,1.0
sexism2,4953.0,0.5007066424389259,0.2611594652828773,0.0,0.25,0.5,0.75,1.0
sexism3,10251.0,0.441249634182031,0.326538399069603,0.0,0.25,0.5,0.75,1.0
sexism4,5574.0,0.46044133476856836,0.26929482858791276,0.0,0.25,0.5,0.75,1.0
tipi_0,0.0,,,,,,,
tipi_1,2.0,0.3333333333333333,0.4714045207910317,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666
tipi_2,2.0,0.3333333333333333,0.4714045207910317,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666
tipi_3,28.0,0.5654761904761905,0.21914201248125095,0.0,0.625,0.6666666666666666,0.6666666666666666,0.8333333333333334
tipi_4,28.0,0.5178571428571428,0.2845084046806372,0.0,0.29166666666666663,0.6666666666666666,0.6666666666666666,1.0
tipi_5,31.0,0.543010752688172,0.26164629055655875,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
tipi_6,56.0,0.47916666666666663,0.3257663846589107,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0
tipi_7,140.0,0.4547619047619047,0.29029248539271985,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0
tipi_8,39.0,0.5042735042735043,0.29490602003650446,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0
tipi_9,64.0,0.5260416666666666,0.2609485309452213,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
pid_strength,8178.0,0.12582538517975056,0.2484649407633957,0.0,0.0,0.0,0.2,1.0
approve_president,52031.0,0.16587547167393796,0.22030647082148153,0.0,0.0,0.0,0.3333333333333333,1.0
birth_year,245600.0,1970.2792915309446,17.45789036196295,1917.0,1956.0,1970.0,1985.0,2004.0
age_norm,245600.0,0.5935194049416064,0.21249907877777263,0.21951219512195122,0.4146341463414634,0.5975609756097561,0.7682926829268293,1.2073170731707317
female,245600.0,1.5590350162866449,0.5014242854385708,1.0,1.0,2.0,2.0,4.0
education,245600.0,3.6247231270358307,1.4997254503750703,1.0,2.0,3.0,5.0,6.0
race,245600.0,1.627919381107492,1.2917472092732787,1.0,1.0,1.0,2.0,8.0
income,245186.0,14.994285970650854,26.774844873943085,1.0,4.0,7.0,10.0,97.0
employment,245477.0,3.4128614900785004,2.4489369643723102,1.0,1.0,2.0,5.0,9.0
marital,245462.0,2.767650389877048,1.8932716102663771,1.0,1.0,2.0,5.0,6.0
state,250543.0,28.313235652163502,15.83263013643655,1.0,13.0,29.0,42.0,56.0
region,181000.0,2.615088397790055,1.0108680571417452,1.0,2.0,3.0,3.0,4.0
registered,245600.0,1.1286074918566775,0.3749264006603659,1.0,1.0,1.0,1.0,3.0
homeowner,245195.0,1.4401843430738799,0.5907648348322383,1.0,1.0,1.0,2.0,3.0
has_children,245203.0,1.7484818701239382,0.4338865381429092,1.0,1.0,2.0,2.0,2.0
investor,237145.0,1.5630310569482806,0.49601222093674047,1.0,1.0,2.0,2.0,2.0
church_attendance,209969.0,0.569480256609309,0.3739598810425672,0.0,0.2,0.6,1.0,1.0
issue_guns,120936.0,0.44910531190050934,0.29783129571932,0.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.0
issue_immigration,125271.0,0.5115540935822566,0.3485794376868898,0.0,0.14285714285714285,0.5714285714285714,0.8571428571428571,1.0
issue_healthcare,120890.0,0.3115689587937086,0.3169415630137569,0.0,0.0,0.2857142857142857,0.42857142857142855,1.0
issue_abortion,125893.0,0.28755087937488866,0.3203026370972388,0.0,0.0,0.14285714285714285,0.42857142857142855,1.0
trump_approval,182144.0,0.415619875849145,0.4356838930804376,0.0,0.0,0.3333333333333333,1.0,1.0
imm_legal_status,235770.0,0.4300462314967977,0.47286554112679946,0.0,0.0,0.0,1.0,1.0
imm_border_security,234707.0,0.4315625439377607,0.4720345363946112,0.0,0.0,0.0,1.0,1.0
imm_daca,183181.0,0.5874012588641835,0.4546183440117989,0.0,0.0,1.0,1.0,1.0
imm_muslim_ban,188115.0,0.5975560162666455,0.4482313646958806,0.0,0.0,1.0,1.0,1.0
sexism5,4943.0,0.5650414727898038,0.2100707934565676,0.0,0.5,0.5,0.75,0.75
sexism6,4942.0,0.20983407527316875,0.19552888538416974,0.0,0.0,0.25,0.25,0.75
issue_economy,4943.0,0.08233866073234877,0.14232927114587438,0.0,0.0,0.0,0.25,0.75
issue_crime,4941.0,0.1570026310463469,0.18653711408818205,0.0,0.0,0.0,0.25,0.75
issue_terrorism,4943.0,0.18910580619057252,0.21053104294900732,0.0,0.0,0.25,0.25,0.75
issue_gayrights,4941.0,0.3480570734669095,0.2828575083346953,0.0,0.0,0.25,0.5,0.75
issue_education,4942.0,0.13537029542695264,0.18360347286420742,0.0,0.0,0.0,0.25,0.75
imm_difficulty,4421.0,0.48490160597149967,0.33428849348655537,0.0,0.25,0.5,0.75,1.0
imm_contribution,4943.0,0.24600445073841795,0.2677750509743936,0.0,0.0,0.25,0.5,0.75
social_trust,4943.0,0.18475622091847058,0.15465846057228744,0.0,0.0,0.25,0.25,0.5
neighbor_trust,4942.0,0.3694354512343181,0.18131762947473457,0.0,0.25,0.25,0.5,0.75
cultural_values,4943.0,0.4052195023265224,0.22047203729968937,0.0,0.25,0.5,0.5,0.75
media_trust,4943.0,0.3036617438802347,0.2800454964033538,0.0,0.0,0.25,0.5,0.75
